hash	message
2c4d08c	chore: update Gemfile to remove github-pages
3e98a27	chore: make copyright year dynamic
91ca98f	chore: add ruby
69960ed	chore: add Gemfile
ab5860c	fix: end comment tag for analytics script
e0ce58d	fix: enclose analytics tracking ID in quotes
a7d4d21	fix: analytics global site tag
d5e2f06	feat: add analytics
655a536	refactor: isolate scripts
ddfcdec	style: change projects to work
3ed85cf	style: left-align bio in header
fe1da3c	feat: add screensaver image for SEO
4ea6b44	feat: add SEO image tags to projects
2ad8eb7	feat: add SEO plugin
f9aa5dd	fix: typo
62b4591	fix: correct URL in README.md
471b13e	feat: add README.md
0fb12af	chore: clean up unused .html files
c277017	chore: add .gitignore
657775c	chore: convert static site to Jekyll
8d83d3e	feat: add resume
be0f6fd	fix: copy edits
b8f79ca	chore: optimise scribbles images
cd51476	feat: add scribbles issue 13
a186cde	fix: unclosed tags and unescaped entities
41a7002	fix: update iframe attributes
7f02406	fix: unclosed and extra tags
147e13b	fix: add favicon to all pages
b110e6b	feat: add favicon
41a978c	fix: responsive moodboard
6698768	feat: add winter ball content
55520af	fix: responsive design
9bbb384	fix: correct spacing in figure
67271b3	feat: add role to films
2f92db6	fix: correct screensaver variation link
819f9a2	fix: add screensaver variation images
1d6af59	feat: add winter ball
b07d10b	style: remove superfluous links
045bdff	feat: add screensaver gifs
4abd35a	style: improve spacing of figure and iframe
14a148c	feat: add scribbles
9e7353f	feat: add human rights day
4c679b5	feat: add blockquote styling
5eeefbf	feat: add devflight
38e9679	fix: correct spacing for figcaption
f3b2684	feat: add year to figcaption
a188b71	feat: add films to projects
795a3fe	fix: expand bottom margin of article rather than of main
ef04b9b	feat: add havisham to projects
5bc5445	feat: add havisham
4c9e36b	style: widen spacing between main and footer
2a558f9	refactor: change projects layout from grid to flexbox
bc9db3d	feat: add branding
aecf86b	fix: select only anchors in header nav for padding
7553be4	refactor: minify pace css file
59ec6a5	feat: add syntax highlighting with prism
867289f	feat: add content to screensaver
b473e39	refactor: use svg for logo instead of png
3d8fc3f	feat: add screensaver project
8a0b631	fix: typo
b886213	refactor: change projects page from flex to grid
a9bf5b7	refactor: simplify navigation links structure
306aff4	style: improve spacing in code
04abc17	fix: normalise spacing on projects page
534d3f7	style: reorganise nav and social links
083afc6	style: differentiate between card and article
b36e5d3	feat: add projects page
6b1368e	refactor: change relative paths to absolute
c4844a1	fix: add home links to logo and title
d01b30a	feat: add etymologee
bb05103	refactor: structure links more consistently
29139f5	style: remove unused scripts
0de3fcc	feat: add sCan
bd6d065	fix: update loader colour
7c45aa3	feat: add ajax loader bar
c02ae9f	fix: improve vertical align and background gradient
06f828c	fix: more complete system font specification
99c9b3f	fix: improve responsive design
1caba36	feat: redesign to simple card
4a41c95	Merge branch 'master' of github.com:bookwormgirl910/bookwormgirl910.github.io
de2660a	prune /img
4834dae	add /img
7481398	delete .gitignore
fa7a81d	basic structure and responsive styling
0de2b95	add .gitignore
fc0bbad	delete old versions
df8839e	move old versions
795868d	reorganise site structure
7ddf714	compress
762a4e9	mobile first media queries
78e7b31	redesign as film portfolio
b8b0909	test
c080179	add videos
f23dcaa	fix rem image
a4a1fbc	debug
3827d03	debug
e39850b	debug
12913d9	troubleshooting
3dbd790	sticky footer
e11fbce	more appropriate elements
2a93558	responsiveness
a2d24c8	re-added images
44372f9	restructure
c703afa	troubleshooting
0c973a6	troubleshooting
fdedc80	troubleshooting
4c17705	troubleshooting
20efaf8	misc
2d777a1	troubleshooting
5071eb7	troubleshooting
eadd7a8	trim
a861b89	new content
8782522	filled in content
4348750	troubleshooting
cd167ff	troubleshooting
15503ef	troubleshooting
b538009	troubleshooting
416950e	troubleshooting
ddd5817	typo
fffd643	two entries for web
656345f	reorganise
1e95a10	new design
5c41abd	reset
099bd22	deleted lukalesson
875bd6b	deleted rh
7335f6f	new
642355a	add
f391708	update
72b2627	txt
1d9f27e	textbook
1261b27	updated changes
870a3dc	-rh
7ec5673	index
d446db8	site directory + earlier projects
d7bd8d7	card
3f60820	moved files
2b3780b	index.html
